OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2707,069-0001,9543-000,Sentier de raquette,Saint-Laurent,Plein air
2708,018-0031,2394-000,Basketball,Lachine,Récréatif
2709,003-0472,0091-000,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
2710,076-0014,0025-000,Soccer à 7,Ahuntsic-Cartierville,Sportif
2711,004-0294,2459-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
2712,023-0001,2685-000,Boulingrin,Pierrefonds-Roxboro,Loisirs et détente
2713,004-0195,2667-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2714,012-0037,0109-000,Aire d'entraînement pour adultes,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
2715,067-0013, ,Scène,Montréal-Nord,Loisirs et détente
2716,077-0001,0025-000,Soccer à 9,Ahuntsic-Cartierville,Sportif
2717,003-0059,0910-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2718,093-0001,0971-000,Agilité canine,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
2719,053-0088,0088-000,Patinoire sans bandes,Mercier-Hochelaga-Maisonneuve,Récréatif
2720,004-0069,0455-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2721,076-0060,2350-000,Soccer à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
2722,081-0036,2651-000,Tennis,Pierrefonds-Roxboro,Sportif
2723,005-0010,0945-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2724,034-0006,2893-000,Football,Verdun,Sportif
2725,065-0002,0202-000,Patinoire 4 saisons,Rosemont-La Petite-Patrie,Récréatif
2726,050-0024,2394-000,Pataugeoire,Lachine,Récréatif
2727,003-0250, ,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
2728,073-0055-76-S2,0156-000,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2729,073-0056-76-S1, ,Soccer sous-terrain à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2730,095-0003,2815-000,Pétanque,Saint-Laurent,Loisirs et détente
2731,003-0082,0022-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2732,075-0066,0495-000,Soccer à 4-5,Mercier-Hochelaga-Maisonneuve,Sportif
2733,073-0079, ,Soccer à 11,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2734,004-0145,0937-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2735,089-0007,0224-000,Volleyball de plage,Le Plateau-Mont-Royal,Récréatif
2736,073-0083,1648-286,Soccer à 11,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2737,003-0214,2662-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2738,021-0042,2564-000,Bocce,Montréal-Nord,Loisirs et détente
2739,076-0071, ,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2740,071-0043,9502-000,Sentier pédestre,L'Île-Bizard-Sainte-Geneviève,Plein air
2741,016-0017,0426-000,Balle,Ahuntsic-Cartierville,Sportif
2742,050-0025,0202-000,Pataugeoire,Rosemont-La Petite-Patrie,Récréatif
2743,004-0242,0151-000,Aire de jeu  5 à 12 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
2744,032-0003,0024-000,Fer / Galet,Ahuntsic-Cartierville,Loisirs et détente
2745,012-0056,2857-000,Aire d'entraînement pour adultes,Saint-Léonard,Loisirs et détente
2746,003-0361,0343-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
